A Ashish Reddy    347    83    99    23    2    22    18
A Chandila    242    105    91    10    1    17    10
A Flintoff    105    21    27    4    0    7    7
A Kumble    1027    410    406    57    3    72    35
A Mishra    2520    851    904    162    4    143    118
A Mithun    448    114    117    17    1    42    21
A Nehra    2038    757    534    91    5    228    65
A Nel    31    7    5    1    0    3    2
A Singh    603    212    148    41    1    67    17
A Symonds    656    219    207    36    1    44    33
A Uniyal    64    11    14    4    0    6    3
AA Chavan    318    117    79    14    1    28    16
AA Jhunjhunwala    126    31    31    10    0    10    5
AA Kazi    20    3    6    2    0    1    1
AA Noffke    35    8    11    2    0    2    2
AB Agarkar    1112    310    305    46    4    113    41
AB Dinda    1651    589    424    70    6    193    47
AB McDonald    259    54    93    10    0    20    11
Abdur Razzak    23    6    3    1    0    3    1
AC Gilchrist    0    1    0    0    0    0    0
AC Thomas    394    143    104    26    1    41    11
AC Voges    74    17    28    1    0    8    2
AD Mascarenhas    353    132    105    29    2    34    8
AD Mathews    999    248    349    58    0    96    25
AD Russell    588    160    157    25    1    63    21
AG Murtaza    304    111    112    10    0    22    14
AJ Finch    66    14    18    4    0    4    4
AL Menaria    140    43    46    5    0    15    4
AM Nayar    311    80    103    21    0    22    13
AM Rahane    5    2    3    1    0    0    0
AM Salvi    190    67    52    12    0    18    7
AN Ahmed    467    144    135    20    0    43    20
Anand Rajan    188    75    52    10    0    17    8
Ankit Sharma    331    124    111    19    3    21    14
Anureet Singh    492    147    116    18    2    52    21
AP Dole    105    28    23    7    0    11    4
AR Patel    776    275    293    36    1    57    30
AS Rajpoot    34    11    8    0    0    5    1
AS Raut    44    7    14    4    0    4    1
AUK Pathan    57    11    21    2    0    5    2
Azhar Mahmood    681    219    207    33    1    73    18
B Akhil    235    69    85    12    0    18    9
B Brainder Sran    29    8    7    0    0    4    1
B Chipli    20    1    0    2    0    1    2
B Geeves    90    16    14    1    0    17    1
B Kumar    1420    635    412    70    5    155    38
B Laughlin    68    13    18    5    0    7    2
B Lee    1042    435    267    65    1    123    25
BA Bhatt    389    104    133    16    2    35    13
BAW Mendis    277    83    118    16    1    16    10
BCJ Cutting    31    9    9    1    0    5    0
BE Hendricks    224    61    48    13    4    24    7
Bipul Sharma    309    95    107    15    2    16    17
BJ Hodge    294    83    106    18    0    17    14
BJ Rohrer    11    2    3    0    0    2    0
BMAJ Mendis    36    11    14    1    0    2    2
BW Hilfenhaus    461    200    100    20    1    48    21
C Ganapathy    13    1    3    0    0    1    1
C Nanda    55    16    23    8    0    1    2
CH Gayle    618    196    214    29    4    46    25
CH Morris    686    261    170    45    4    69    23
CJ Anderson    210    55    40    8    0    28    7
CJ McKay    60    14    17    1    1    8    1
CK Kapugedera    49    0    7    2    0    5    3
CK Langeveldt    178    84    50    6    0    17    8
CL White    81    12    21    2    0    5    6
CRD Fernando    279    119    78    12    1    30    9
D du Preez    55    18    13    3    2    6    1
D Kalyankrishna    85    13    22    2    1    8    4
D Salunkhe    70    18    21    2    1    6    3
D Wiese    344    85    117    14    1    37    8
DAJ Bracewell    31    11    9    1    0    2    2
DB Ravi Teja    28    4    10    1    0    1    2
DE Bollinger    663    292    183    29    2    73    19
DJ Bravo    2177    693    672    124    3    186    84
DJ Harris    26    4    10    1    0    2    1
DJ Hooda    122    33    42    8    0    10    4
DJ Hussey    467    98    144    25    1    30    25
DJ Muthuswami    101    47    14    5    1    14    3
DJ Thornely    38    21    18    0    0    5    0
DJG Sammy    341    82    97    20    0    33    12
DL Vettori    870    292    347    54    1    67    24
DNT Zoysa    96    26    26    2    0    12    3
DP Nannes    734    347    198    32    7    89    15
DP Vijaykumar    192    74    46    9    2    23    5
DR Smith    495    125    145    26    0    49    17
DS Kulkarni    1262    512    312    55    4    147    40
DT Christian    611    211    169    36    2    58    22
DW Steyn    2178    1104    604    115    12    261    44
F du Plessis    16    0    4    0    0    0    2
FH Edwards    144    84    36    8    0    20    2
FY Fazal    20    1    8    1    0    1    1
Gagandeep Singh    141    26    27    11    0    14    6
GB Hogg    416    142    157    23    3    27    16
GD McGrath    352    166    100    10    1    41    10
GH Vihari    37    19    11    2    0    4    1
GJ Maxwell    264    51    70    9    0    14    20
GR Napier    27    9    11    1    0    2    1
GS Sandhu    82    10    18    10    0    8    2
Gurkeerat Singh    64    21    24    4    0    5    2
Harbhajan Singh    2644    981    1030    138    10    195    88
Harmeet Singh    698    236    204    43    0    69    22
HH Pandya    171    36    35    9    0    22    5
HV Patel    763    239    206    44    0    74    28
I Malhotra    23    0    1    1    0    2    2
I Sharma    1817    732    392    97    7    217    57
IC Pandey    584    229    123    18    5    77    17
IK Pathan    2482    932    647    107    3    286    78
Imran Tahir    461    119    152    29    1    26    24
Iqbal Abdulla    824    316    304    35    3    67    28
J Botha    782    282    295    43    4    60    24
J Suchith    330    76    103    19    1    27    13
J Syed Mohammad    279    54    90    21    1    18    12
J Theron    279    86    97    11    0    28    8
J Yadav    29    21    17    2    0    2    0
JA Morkel    2195    749    586    122    7    255    54
Jaskaran Singh    162    49    25    9    1    23    4
JD Ryder    297    89    101    17    0    21    13
JD Unadkat    928    248    280    44    5    87    32
JDP Oram    342    92    89    14    0    34    14
JDS Neesham    88    19    22    3    0    9    4
JE Taylor    152    59    30    14    0    10    9
JEC Franklin    216    43    75    9    1    21    6
JH Kallis    2222    693    702    104    5    236    58
JJ Bumrah    535    157    129    26    0    54    23
JJ van der Wath    125    35    16    1    1    17    6
JM Kemp    51    21    17    2    0    6    1
JO Holder    196    60    45    12    1    19    8
Joginder Sharma    402    83    120    14    0    38    17
JP Duminy    712    246    284    36    0    44    30
JP Faulkner    1306    414    332    88    4    120    51
JR Hopes    539    128    143    26    0    44    28
JW Hastings    28    10    2    1    0    6    0
K Cooper    593    188    184    50    0    49    18
K Goel    92    21    27    7    1    9    2
K Santokie    87    19    13    7    0    6    6
K Upadhyay    79    22    20    1    1    9    3
KA Pollard    1579    410    539    89    2    133    54
KAJ Roach    76    24    12    3    0    10    3
Kamran Khan    214    79    53    5    1    22    10
Karanveer Singh    312    75    79    20    1    19    19
KC Cariappa    28    3    4    0    0    3    2
KK Cooper    132    45    38    12    0    10    5
KMDN Kulasekara    115    52    27    12    0    16    0
KP Appanna    278    76    99    15    1    20    11
KP Pietersen    205    63    86    11    1    10    9
KV Sharma    933    291    316    44    3    49    54
KW Richardson    300    102    82    17    0    25    14
L Ablish    72    14    16    3    0    11    1
L Balaji    1952    641    568    106    2    188    69
LA Carseldine    5    5    1    0    0    1    0
LJ Wright    120    19    38    4    0    5    9
LMP Simmons    34    2    10    2    0    2    2
LPC Silva    21    0    3    0    0    0    3
LR Shukla    429    127    112    31    1    39    16
LRPL Taylor    23    1    9    1    0    0    2
M de Lange    157    48    38    4    1    21    4
M Kartik    1341    433    521    84    6    97    41
M Manhas    42    15    21    2    1    2    1
M Morkel    1715    706    433    83    10    198    49
M Muralitharan    1632    693    611    100    3    104    66
M Ntini    238    110    59    6    1    29    8
M Vijay    41    6    17    2    0    5    0
MA Khote    51    6    13    5    0    4    2
MA Starc    656    287    182    56    2    77    8
Mashrafe Mortaza    54    10    6    4    0    4    4
MB Parmar    32    5    8    0    0    6    0
MC Henriques    563    184    159    28    2    66    13
MF Maharoof    494    196    156    25    1    46    16
MG Johnson    1181    476    250    59    5    141    39
MG Neser    61    5    7    3    0    6    4
