A Bhattarai	11	11	7	0	0	1	0
A Dananjaya	95	31	37	8	0	3	5
A Flintoff	156	72	49	16	1	15	2
A Karn	31	5	15	1	0	2	1
A Khan	32	12	6	3	0	5	0
A Martin	20	7	8	1	0	1	1
A Mishra	165	69	61	13	0	9	7
A Nehra	268	75	63	13	1	32	8
A Nel	42	23	16	5	0	4	0
A Shahzad	96	27	19	7	1	9	4
A Symonds	272	51	93	13	1	21	11
A Vala	20	13	12	2	0	1	0
AA Noffke	40	22	17	2	1	4	0
Aamir Kaleem	36	3	13	5	1	1	1
AB Agarkar	85	26	18	7	1	8	3
AB Dinda	239	88	44	14	0	36	3
Abdul Razzaq	364	157	101	20	1	43	8
Abdur Razzak	695	296	234	49	3	42	31
Abdur Rehman	150	68	52	7	0	9	8
Abul Hasan	60	15	7	3	1	8	2
AC Botha	105	56	46	15	1	5	1
AC Evans	96	52	31	5	1	10	2
AC Voges	5	7	5	0	0	0	0
AD Mascarenhas	307	98	102	20	1	18	15
AD Mathews	852	360	244	55	8	90	19
AD Russell	516	123	135	23	1	53	20
Adil Bhatti	28	7	10	2	0	2	1
AF Milne	251	110	58	14	1	30	7
Aftab Ahmed	8	0	0	0	0	2	0
Aftab Alam	117	37	38	9	1	13	1
AG Cremer	258	88	98	17	0	15	11
Ahmed Raza	76	12	25	3	1	6	3
Aizaz Cheema	110	39	50	7	0	10	1
Aizaz Khan	141	73	47	5	2	12	5
AJ Finch	27	4	3	0	0	3	2
AJ Hall	59	19	18	5	1	4	2
AJ Lalcheta	35	10	8	1	1	4	1
AJ McKay	30	18	12	1	0	4	0
AJ Redmond	23	5	7	4	0	2	0
AK Perera	17	1	1	1	0	2	1
Al-Amin Hossain	207	88	59	13	0	17	9
Alok Kapali	34	11	14	3	0	2	1
AM Ellis	103	14	31	4	0	7	6
AM Guruge	103	32	18	2	1	18	1
AM Phangiso	269	83	79	11	0	18	16
Amjad Javed	115	39	24	1	1	11	7
Anshuman Rath	12	2	2	0	0	1	1
Anwar Ali	207	68	41	11	4	24	6
AO Suji	43	17	11	6	2	2	1
AP Devcich	80	20	42	3	0	5	2
AR Adams	104	33	28	1	0	11	5
AR Cusack	623	247	196	55	1	47	21
AR McBrine	50	10	12	2	0	1	5
AR Nurse	101	23	37	7	0	11	1
AR Patel	40	20	22	3	0	3	0
AR White	17	10	13	2	0	0	0
Arafat Sunny	94	40	29	4	1	12	1
Arsalan Qadir	12	1	2	1	0	2	0
AS Dean	14	6	4	0	0	1	1
AS Hansra	93	32	37	18	0	2	2
Asad Ali	29	16	5	2	0	5	0
AU Rashid	185	34	57	13	2	12	8
B Fernando	63	19	16	6	1	2	4
B Geeves	34	7	6	3	0	4	1
B Kumar	224	140	61	12	1	28	4
B Laughlin	117	28	21	5	0	11	7
B Lee	668	276	181	27	6	77	17
B Regmi	191	97	78	16	0	13	4
BA Stokes	142	38	23	11	1	13	7
BAW Mendis	903	353	331	74	6	58	29
BCJ Cutting	97	16	31	10	2	7	2
BE Hendricks	142	45	36	4	0	17	5
Bilawal Bhatti	240	53	66	13	0	31	4
BJ Diamanti	19	3	5	1	0	3	0
BJ Hodge	42	14	10	0	0	5	2
BM Scholtz	27	8	13	0	0	2	1
BMAJ Mendis	112	50	42	9	0	4	6
BRM Taylor	17	17	11	1	0	1	0
BV Vitori	212	86	51	18	1	23	5
BW Hilfenhaus	154	83	51	8	3	15	3
C Pervez	31	7	7	0	0	3	2
CA Soper	22	7	14	2	0	1	0
CA Young	81	40	21	2	0	8	4
CB Mpofu	477	150	96	29	3	53	17
CD Barnwell	45	11	21	2	0	2	2
CD de Lange	52	19	16	3	0	0	5
CH Gayle	345	90	159	32	2	14	10
CH Morris	51	25	15	1	0	7	1
CJ Anderson	342	89	91	25	1	27	15
CJ Boyce	101	35	45	6	0	8	2
CJ Chibhabha	167	42	57	12	0	14	5
CJ Jordan	173	64	41	10	0	25	2
CJ McKay	179	54	49	11	2	21	3
CJA Amini	30	10	14	4	0	2	0
CK Langeveldt	222	116	50	17	2	18	10
CL Cairns	52	11	30	3	0	4	0
CL White	48	16	20	5	0	3	1
CM Wright	48	11	10	3	0	5	2
CO Obuya	159	75	66	11	1	11	4
CP Schofield	91	30	35	3	0	5	5
CR Brathwaite	60	15	12	3	0	6	3
CR Woakes	182	43	38	11	0	20	7
CRD Fernando	381	163	108	24	3	39	10
CS MacLeod	55	11	7	3	0	9	1
CS Martin	190	64	39	8	1	21	8
CT Tremlett	41	10	9	1	0	6	1
D Bishoo	95	46	29	13	0	7	2
D Gough	47	28	2	3	3	6	1
D Wiese	256	100	102	14	0	27	3
DAJ Bracewell	399	117	79	10	2	42	21
Dawlat Ahmadzai	20	5	3	2	1	1	1
Dawlat Zadran	431	193	118	21	1	43	16
DBL Powell	118	62	24	3	0	19	2
DE Bernard	16	16	6	1	0	2	0
DE Bollinger	245	100	61	17	0	33	3
DI Allan	61	10	18	2	1	6	2
DJ Bravo	1044	268	332	63	4	97	31
DJ Hussey	381	135	174	30	1	18	12
DJ Willey	55	16	11	4	0	6	2
DJG Sammy	975	323	360	62	3	74	31
DK Butler	21	10	5	0	0	4	0
DL Maddy	26	7	4	3	0	4	0
DL Vettori	730	335	355	62	1	26	24
DLS van Bunge	15	4	9	0	0	0	1
DP Nannes	441	183	105	27	2	48	14
DPMD Jayawardene	8	1	4	0	0	1	0
DR Briggs	194	36	38	9	0	21	9
DR Brown	40	8	12	1	0	5	1
DR Flynn	7	2	3	0	0	1	0
DR Smith	193	53	67	6	0	18	7
